id,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
3jbFJ6IzlLelTB0c91m9uJ,punk,0.462,0.446,-6.814,0.0256,0.425,0.0,0.195,74.992
3vC9txIc5BeRcJGU8w8YVG,punk,0.24,0.798,-5.495,0.0939,0.0128,1.07e-06,0.293,208.71
7dyu70NTUkkw56RasnycBB,punk,0.467,0.859,-3.519,0.0593,0.036,0.0,0.836,110.773
22VqRd6tNXeknJHs8UCfA1,punk,0.469,0.876,-3.785,0.0959,0.00047,9.82e-06,0.299,122.348
6Nl73LbjMNXUDi0qtshZgr,punk,0.385,0.98,-2.764,0.0683,0.00021,0.0034,0.61,165.932
5iO736dAurgsRQufLM4UtC,punk,0.615,0.948,-3.126,0.0383,0.000181,8.71e-06,0.398,110.986
6lzKfhNSAEGp7Jt8C8N1wS,punk,0.607,0.948,-3.686,0.0509,0.000599,0.256,0.701,131.989
3vKw9rORPl4GPwWQTMiCld,punk,0.544,0.927,-3.238,0.0508,0.000254,0.00285,0.28,120.009
6x7c2SqH4BqVCWyCEl5ipp,punk,0.295,0.877,-1.965,0.0938,0.00154,0.0,0.296,117.706
2d9d8gHAm7ZnOa0qpebWli,punk,0.278,0.926,-3.957,0.176,0.000331,5.17e-06,0.175,134.093
2b3eXNO1IDf5gaElYZfmxV,punk,0.29,0.937,-4.987,0.146,0.00155,2.06e-06,0.15,99.754
4KLGQ9z6WBo0PjerRR5WGR,punk,0.518,0.772,-5.124,0.023,0.0088,0.000421,0.499,100.137
2AvxE7iRg5wTebmtoCp5Iw,punk,0.314,0.976,-3.91,0.117,0.000565,0.0,0.541,108.324
62FWFm7r0ys4bj596aFWYQ,punk,0.321,0.981,-3.906,0.228,0.0149,0.0,0.168,98.951
5srZXazORfYDHdlUMYzDkm,punk,0.367,0.959,-2.982,0.11,0.0544,0.0,0.103,125.939
62KsOrcGIALwfcIIO3F9d2,punk,0.373,0.896,-4.113,0.0711,0.000603,1.34e-06,0.599,185.955
1Z4igHWQH8mJARisN6GJFM,punk,0.234,0.969,-3.048,0.133,0.0118,0.0,0.273,180.287
338fVQld1bJoGTbWmqz9hd,punk,0.181,0.752,-5.519,0.0699,0.236,0.0,0.0372,144.766
2EjTOvzjmGXrOvKzgaDSua,punk,0.187,0.906,-4.321,0.0785,0.000348,0.000297,0.231,87.513
0UL51aaokpqG0jDeA9FCmV,punk,0.462,0.446,-6.814,0.0256,0.425,0.0,0.195,74.992
34lFT2fb2qq1iJ6FTOyy4c,punk,0.236,0.796,-5.627,0.0836,0.00839,1.98e-05,0.312,208.993
1fp3M6p9nhhgUbEPPKGEwG,punk,0.467,0.859,-3.519,0.0593,0.036,0.0,0.836,110.773
6DEKUeed34pHB7OAjgmq8C,punk,0.469,0.876,-3.785,0.0959,0.00047,9.82e-06,0.299,122.348
5muZ6aHnftyCd0r9G8R00F,punk,0.399,0.977,-3.301,0.0627,0.00014,0.00523,0.607,165.972
26PDUmKUcdE8poRmC9eTDy,punk,0.615,0.948,-3.126,0.0383,0.000181,8.71e-06,0.398,110.986
6xauyCwrJqAfw3EgdpDvSp,punk,0.611,0.948,-3.909,0.047,0.000819,0.14,0.73,131.978
2yIIHCBEcX5T87Oo1PkErE,punk,0.544,0.927,-3.238,0.0508,0.000254,0.00285,0.28,120.009
4AfFt1SCTMCLsQV0XZGYYA,punk,0.295,0.877,-1.965,0.0938,0.00154,0.0,0.296,117.706
5LHXeI11juHQ7sWJMiA1IC,punk,0.276,0.935,-3.94,0.182,0.000317,8.89e-06,0.156,134.498
57m0fr9Gk8bBD8I2vGAseW,punk,0.29,0.937,-4.987,0.146,0.00155,2.06e-06,0.15,99.754
1VTn4DY9aJn5Wc05ieKx6T,punk,0.482,0.73,-13.89,0.279,0.758,0.0,0.449,128.773
